Forgotten Books of the Bible 2,Books & Reference,BriefCaseIt Network,,4.0,44,6.6,"1,000",1.99
English Audio Books - Premium,Books & Reference,IronServices.com,,3.6,74,8.7,"1,000",2.49
Top Paid Books 2018 - Best Selling Prime Books,Books & Reference,Classic Apps .Inc,Contains Ads,4.8,5,3.8,5,0.99
Moon+ Reader Pro,Books & Reference,Moon+,,4.6,"91,049",,"500,000",4.99
All My Books,Books & Reference,Bolide Software,,3.2,20,1.9,100,4.99
Calibre Companion,Books & Reference,MultiPie Ltd,,4.6,"3,666",5.5,"50,000",3.99
THE REJECTED BIBLICAL BOOKS,Books & Reference,christianity apps,,3.5,8,1.0,500,1.00
eBook Search Pro - Find Free Books & eBooks Online,Books & Reference,"Inkstone Software, Inc.",,4.3,11,14,100,0.99
Read By Me - notes about books,Books & Reference,ifyousleep,,4.4,44,1.9,"1,000",0.99
Books Guide,Books & Reference,Zaylle,,,,11,1,0.99
Aldiko Book Reader Premium,Books & Reference,Aldiko Limited,,4.0,"9,258",22,"100,000",13.99
Chinese Library - 2000 Books,Books & Reference,SkyHorseApps,Offers in-app purchases,5.0,1,16,10,0.99
The UESO App,Books & Reference,Nexu Industries Australia,,4.4,985,31,"10,000",2.49
Bookari Ebook Reader Premium,Books & Reference,Mantano,,4.0,"5,732",69,"50,000",5.49
Islamic books library,Books & Reference,Perfect infotech,,,,15,5,1.49
FBReader Premium – Book Reader,Books & Reference,FBReader.ORG Limited,,4.6,"6,598",,"100,000",4.99
"Audiobooks HQ - Listen to 12,500 free books",Books & Reference,"Inkstone Software, Inc.",,,,15,1,0.99
Books Paradise for Kids Pro,Books & Reference,FatimaSoft,,,,8.9,1,3.49
Five Books Of Moses - BBE Bible Pro,Books & Reference,Watchdis Prayers,,,,18,5,0.99
Degree Books,Books & Reference,MhExpo,,,,1.9,0,9.49
Engineering Anna university books,Books & Reference,#HashTag Developers,,,,8.8,1,1.49
Appocrypha,Books & Reference,Juan Manuel Muñoz,,4.5,28,24,100,0.99
Designing Books & Book Covers,Books & Reference,AskVideo.com,,,,0.361,5,9.99
Book Collection + Catalog,Books & Reference,Metosphere,,4.0,217,,"1,000",3.99
Twenty-Four Hours a Day,Books & Reference,BookMobile,,4.8,"1,593",1.6,"10,000",5.99
Book Writer,Books & Reference,itagSoft,,3.6,337,1.8,"5,000",0.99
Pocket Vedas,Books & Reference,Dancing Ganesh,,4.5,164,47,"1,000",14.99
"Hadith Collection Pro - Sahih Bukhari , Muslim",Books & Reference,Quarter Pi: Best pro Islamic apps for Muslim Ummah,,4.7,732,21,"1,000",3.49
PDF and DJVU Reader,Books & Reference,AK2,,4.6,503,,"5,000",2.99
Gujarati Books Stock,Books & Reference,Genius Solution,,,,18,1,0.99
The Arabic Books,Books & Reference,Thulis Media,,,,1.5,1,0.99
iMissal - #1 Catholic App,Books & Reference,"Cantcha, Inc",Offers in-app purchases,4.7,"6,417",47,"10,000",3.99
The Cat in the Hat - Dr. Seuss,Books & Reference,"Oceanhouse Media, Inc.",Contains Ads,4.6,"1,257",20,"100,000",3.99
GrabMyBooks,Books & Reference,Softesk,,3.7,20,2.4,100,1.35
SDA Book of Daniel Commentary,Books & Reference,Ev-Soft Ministry,,3.0,4,2.9,500,1.99
Dr. Seuss's ABC,Books & Reference,"Oceanhouse Media, Inc.",Contains Ads,4.7,429,12,"10,000",3.99
Hadith 6-in-1,Books & Reference,e-Deen,,4.9,65,9.4,500,1.99
SDA Revelation Commentary,Books & Reference,Ev-Soft Ministry,,5.0,2,4.4,100,1.99
When I Get Bigger,Books & Reference,"Oceanhouse Media, Inc.",,4.6,258,17,"10,000",1.99
The Lorax - Dr. Seuss,Books & Reference,"Oceanhouse Media, Inc.",Contains Ads,4.5,630,39,"10,000",3.99
Just Grandma and Me,Books & Reference,"Oceanhouse Media, Inc.",,4.6,110,17,"5,000",1.99
I Just Forgot - Little Critter,Books & Reference,"Oceanhouse Media, Inc.",,4.6,647,19,"10,000",1.99
World History,Books & Reference,solvapps,,4.6,535,8.2,"10,000",3.99
SpeedRead With Spritz,Books & Reference,Random App Creator,,3.7,486,10,"10,000",0.99
All By Myself - Little Critter,Books & Reference,"Oceanhouse Media, Inc.",,4.6,424,15,"50,000",1.99
Dr. Seuss's Sleep Book,Books & Reference,"Oceanhouse Media, Inc.",Contains Ads,4.6,398,44,"10,000",3.99
Green Eggs and Ham - Dr. Seuss,Books & Reference,"Oceanhouse Media, Inc.",Contains Ads,4.7,740,14,"10,000",3.99
The Going to Bed Book - A Sandra Boynton Story,Books & Reference,Loud Crow Interactive Inc.,,4.2,405,31,"10,000",3.99
Just Go to Bed -Little Critter,Books & Reference,"Oceanhouse Media, Inc.",,4.7,50,15,"1,000",1.99
طب النبوي Prophet Medicine PRO,Books & Reference,Ossys.org,,3.5,46,6.5,"1,000",0.99
The Sneetches - Dr. Seuss,Books & Reference,"Oceanhouse Media, Inc.",Contains Ads,4.3,108,25,"5,000",0.99
The New Potty - Little Critter,Books & Reference,"Oceanhouse Media, Inc.",,4.6,146,19,"5,000",1.99
It's the Great Pumpkin Charlie Brown - Read & Play,Books & Reference,Loud Crow Interactive Inc.,Offers in-app purchases,4.1,94,1.7,"1,000",3.99
Message Bible,Books & Reference,"Tecarta, Inc.",Offers in-app purchases,4.7,"1,240",18,"10,000",5.99
New Spirit-Filled Life,Books & Reference,"Tecarta, Inc.",Offers in-app purchases,4.8,188,20,"1,000",16.99
Dr. Seuss Book Collection #2,Books & Reference,"Oceanhouse Media, Inc.",Contains Ads,5.0,2,73,100,14.99
Odia Book Reader Pro,Books & Reference,TechZ Solutions,,1.0,2,3.0,10,0.99
The New Baby - Little Critter,Books & Reference,"Oceanhouse Media, Inc.",,4.7,115,14,"5,000",1.99
Free AudioBooks Pro - Play Offline 😎,Books & Reference,Rohit Kanade,,4.5,2,3.6,10,1.49
The FOOT Book - Dr. Seuss,Books & Reference,"Oceanhouse Media, Inc.",Contains Ads,4.7,32,10,"1,000",3.99
Rare Books,Books & Reference,CTS WebLab,,,,3.9,1,2.99
Roberts Multimedia Birds of SA,Books & Reference,Gibbon Multimedia,,4.1,570,6.3,"10,000",39.99
SDA Bible Study Commentary Volume 1,Books & Reference,Ev-Soft Ministry,,5.0,1,6.0,10,5.99
Ebook Converter,Books & Reference,Ice Cold Apps,,3.9,643,0.904,"10,000",1.99
Chess Openings,Books & Reference,Pondar,,3.5,91,1.7,"1,000",1.40
Diwani,Books & Reference,Usmaniyya,,5.0,3,0.724,50,4.02
Bilingual books - The Call of the Wild FI/EN,Books & Reference,Skyler Cole,,,,9.3,1,0.99
St. Josemaria,Books & Reference,Electronic Business Solutions,,4.6,"1,160",33,"10,000",14.99
Naat Lyrics,Books & Reference,Maqbul Yusuf,,4.5,16,3.4,100,0.99
Handy Law Answer Book,Books & Reference,Trellisys.net,,,,36,10,1.99
Board Books Solar System RAL,Books & Reference,Portrait Publishing,,,,19,1,1.61
Arabic <-> English Dictionary,Books & Reference,DAR EL ILM LILMALAYIN,,3.7,63,12,"1,000",13.99
Engineering library Pro,Books & Reference,Tuanninh,,5.0,1,32,500,0.99
Dizionario Oxford Study,Books & Reference,Oxford University Press ELT.,,4.8,4,5.4,100,25.82
Booktime — audiobook player,Books & Reference,Vosman,,4.3,29,4.1,500,2.99
How the Grinch Stole Christmas,Books & Reference,"Oceanhouse Media, Inc.",Contains Ads,4.6,412,42,"10,000",3.99
Grimm's Rapunzel,Books & Reference,StoryToys,Offers in-app purchases,4.2,211,22,"10,000",2.99
The Complete Set of Christian Classics,Books & Reference,Patristic Publishing,,,,93,10,1.99
Coder Book,Books & Reference,lypii lab,,4.5,551,20,"10,000",1.49
Islamic Library - shamela book reader - paid,Books & Reference,Fekra Computers,,3.3,3,13,10,5.49
Vedic Astrology Book App : PhalDeepika,Books & Reference,Dharma Digital,,,,2.5,10,1.49
Book Collector,Books & Reference,Qapable Corp,,,,9.1,10,0.99
Vedic Astrology Book App: PrashnMarg,Books & Reference,Dharma Digital,,,,2.8,5,1.49
Jeffrey Prophecy Study Bible,Books & Reference,CadreWorks Pty Ltd,,4.3,3,29,100,24.99
"Go Away, Big Green Monster!",Books & Reference,"Night & Day Studios, Inc.",,4.3,31,28,"1,000",1.99
DSM-5 Diagnostic Criteria,Books & Reference,American Psychiatric Association,,3.9,94,9.3,"1,000",69.00
"'I', The Spiritual Me!",Books & Reference,iDEV978,,,,0.069,1,9.99
Urdu English Bilingual Audio Holy Bible Offline +,Books & Reference,JaqerSoft,,,,17,1,3.99
SHIA ISLAM,Books & Reference,ALHASSAN TECH,,,,1.6,5,3.99
A Frog Thing,Books & Reference,"Oceanhouse Media, Inc.",,4.9,13,20,100,2.99
Luganda Bible ( Uganda),Books & Reference,Nippt,,4.4,7,7.8,10,3.99
Me Too! - Little Critter,Books & Reference,"Oceanhouse Media, Inc.",,4.6,346,17,"10,000",1.99
Just Helping My Dad,Books & Reference,"Oceanhouse Media, Inc.",,4.8,20,34,500,1.99
PopOut! The Tale of Benjamin Bunny: A Pop-up Story,Books & Reference,Loud Crow Interactive Inc.,,4.8,11,33,500,1.99
onTouch English Dictionary - Premium,Books & Reference,Adroit Apps,,4.1,162,,"10,000",1.49
The Sandra Boynton Collection: Interactive Stories,Books & Reference,Loud Crow Interactive Inc.,,4.7,56,1.6,"1,000",9.99
Fox in Socks - Dr. Seuss,Books & Reference,"Oceanhouse Media, Inc.",Contains Ads,4.8,144,21,"5,000",3.99
The Butter Battle Book,Books & Reference,"Oceanhouse Media, Inc.",Contains Ads,4.0,7,34,500,3.99
Amplified Bible Classic Edition,Books & Reference,"Tecarta, Inc.",Offers in-app purchases,4.8,"1,525",20,"10,000",4.99
The Best Teacher Ever,Books & Reference,"Oceanhouse Media, Inc.",,5.0,1,35,50,1.99
Librera PRO - Book reader and PDF (no Ads),Books & Reference,Librera,,4.5,"1,582",,"10,000",2.99
Snappy Buys A Bond - vol. 5,Books & Reference,LadeezFirstMedia,,5.0,1,28,1,0.99
NLT Bible,Books & Reference,"Tecarta, Inc.",Offers in-app purchases,4.8,"1,857",19,"10,000",7.99
Text To Speech reader - just listen books with TTS,Books & Reference,B S Apps,,3.0,5,8.7,10,1.99
NIV MacArthur Study Bible,Books & Reference,"Tecarta, Inc.",Offers in-app purchases,4.9,37,22,100,23.99
