Google Play Books,Books & Reference,Google LLC,,3.9,"1,432,629",,"1,000,000",
Amazon Kindle,Books & Reference,Amazon Mobile LLC,Contains Ads,4.2,"813,726",,"100,000,000",
Wattpad 📖 Free Books,Books & Reference,Wattpad.com,Contains Ads·Offers in-app purchases,4.6,"2,912,828",,"100,000,000",
Free Books - Read & Listen,Books & Reference,Digital Press Publishing s.r.o.,Contains Ads·Offers in-app purchases,4.2,"24,720",,"1,000,000",
50000 Free eBooks & Free AudioBooks,Books & Reference,Oodles,Contains Ads·Offers in-app purchases,4.1,"52,284",11,"5,000,000",
Free Books and Audiobooks,Books & Reference,Sanity Audio Apps,Contains Ads,4.3,"1,171",5.6,"100,000",
Audiobooks.com: Books & Novels - Stream Audiobooks,Books & Reference,"RB Audiobooks USA, LLC.",,4.3,"27,226",,"1,000,000",
"Inkitt – Free Fiction Books, Novels & Stories",Books & Reference,Inkitt GmbH,,4.5,"8,434",24,"100,000",
Kobo Books - eBooks & Audiobooks,Books & Reference,Kobo Books,,4.2,"231,204",,"10,000,000",
Home Library - Free Books,Books & Reference,SkyHorseApps,Contains Ads·Offers in-app purchases,4.4,"4,211",14,"100,000",
NOOK: Read eBooks & Magazines,Books & Reference,Barnes & Noble,,4.5,"155,414",,"10,000,000",
Goodreads,Books & Reference,Goodreads,Contains Ads,4.1,"95,262",,"5,000,000",
Free books to download & read,Books & Reference,Unwrapped Apps,Contains Ads,3.3,"26,942",7.0,"5,000,000",
Audiobooks from Audible,Books & Reference,"Audible, Inc",,4.5,"567,641",,"100,000,000",
Offline Books Free Unlimited Classic Ebook Library,Books & Reference,HurTech,Contains Ads·Offers in-app purchases,3.8,604,23,"100,000",
My books - Library,Books & Reference,Mirko Apps,,4.0,202,2.8,"50,000",
Free Love Story Books Reader,Books & Reference,QC Fun,Contains Ads,4.3,397,13,"100,000",
Me Books,Books & Reference,Me Books,Offers in-app purchases,3.6,"1,053",33,"100,000",
1000000+ FREE Ebooks.,Books & Reference,GB Technology,Contains Ads,3.9,"3,723",5.1,"500,000",
Free Adventure Books Reader,Books & Reference,QC Fun,Contains Ads,4.0,48,20,"10,000",
Worldreader - Free Books,Books & Reference,WORLDREADER,,4.3,756,,"50,000",
Free Books Reader,Books & Reference,QC Fun,Contains Ads,3.3,345,19,"50,000",
Free Books Discovery,Books & Reference,ISYSWAY,Contains Ads,4.5,"2,197",4.0,"500,000",
Books,Books & Reference,Jasleen Singh,,3.6,30,4.5,"1,000",
Books Play - Audiobooks Free,Books & Reference,NNT Dev,Offers in-app purchases,4.3,366,4.1,"10,000",
GoodBook 📖 free ebooks & audio books,Books & Reference,GoodBook - ebooks & audiobooks,Contains Ads,4.2,223,16,"10,000",
Listen Free Audio Books by Librivox,Books & Reference,YOBIMI GROUP,Contains Ads·Offers in-app purchases,4.5,"10,042",4.3,"500,000",
ThriftBooks: New & Used Books,Books & Reference,"Thrift Books Global, LLC.",,4.5,518,17,"100,000",
Gutenberg Books,Books & Reference,Mind For Books,,4.5,"17,119",13,"100,000",
Lost Books of the Bible (Forgotten Bible Books),Books & Reference,⭐ Wiktoria Goroch ⭐,Contains Ads·Offers in-app purchases,4.7,"1,245",6.6,"100,000",
Disney Story Central,Books & Reference,Disney Publishing Worldwide,Contains Ads·Offers in-app purchases,3.7,"4,273",56,"500,000",
OverDrive,Books & Reference,"OverDrive, Inc.",,4.5,"158,248",9.4,"5,000,000",
Little Stories. Read bedtime story books for kids,Books & Reference,Diveo Media - Kids Books,Offers in-app purchases,4.4,243,47,"10,000",
Free books and poems,Books & Reference,Surgebook,,4.6,"1,598",14,"100,000",
English Novel Books - Offline,Books & Reference,BookAZ,Contains Ads,4.5,"2,182",21,"100,000",
Books Free Delivery,Books & Reference,Bookstores.app,,4.6,258,3.5,"50,000",
Instafreebie - Free books on your device,Books & Reference,Instafreebie,,4.2,751,2.5,"50,000",
Audiobooks Now Audio Books,Books & Reference,AudiobooksNow.com,,3.9,821,14,"100,000",
Psychology Books,Books & Reference,Zebra Group,Contains Ads,3.9,815,24,"100,000",
HOOKED - Chat Stories,Books & Reference,Telepathic,Offers in-app purchases,4.2,"449,912",6.4,"10,000,000",
Scribd - Reading Subscription,Books & Reference,"Scribd, Inc.",Offers in-app purchases,4.3,"434,224",,"10,000,000",
Self Help Books,Books & Reference,SelfHelp,Contains Ads,4.4,"1,095",25,"100,000",
Aldiko Book Reader,Books & Reference,Aldiko Limited,Contains Ads·Offers in-app purchases,4.2,"210,509",22,"10,000,000",
Free Audiobooks,Books & Reference,Sanity Audio Apps,Contains Ads,4.1,"7,480",12,"1,000,000",
Best Romance Books,Books & Reference,Stoxline,Contains Ads,4.7,21,5.6,"10,000",
eBoox: book reader fb2 epub zip,Books & Reference,MobiPups,Offers in-app purchases,4.7,"21,307",23,"1,000,000",
Sherlock Holmes Books,Books & Reference,Lettus,Contains Ads,4.7,396,4.1,"50,000",
