Khan Academy,Education,Khan Academy,,4.6,"85,251",21,"5,000,000",
Coursera: Online courses,Education,Coursera,,4.4,"90,449",,"5,000,000",
Elevate - Brain Training Games,Education,Elevate Labs,Offers in-app purchases,4.5,"248,728",,"5,000,000",
"edX - Online Courses by Harvard, MIT & more",Education,edX,,4.6,"32,275",10,"1,000,000",
Quizlet: Learn Languages & Vocab with Flashcards,Education,Quizlet Inc.,Contains Ads·Offers in-app purchases,4.6,"211,547",,"10,000,000",
Udemy - Online Courses,Education,Udemy,Offers in-app purchases,4.5,"98,796",18,"1,000,000",
Curiosity,Education,Curiosity.com,Contains Ads·Offers in-app purchases,4.7,"75,635",,"1,000,000",
Kids Educational :All in One,Education,Genius Games,Contains Ads,4.5,"1,450",8.9,"500,000",
Psychology Education,Education,Hindi Education Apps,Contains Ads,4.0,23,3.3,"5,000",
Duolingo: Learn Languages Free,Education,Duolingo,Contains Ads·Offers in-app purchases,4.7,"6,281,457",,"100,000,000",
Education Perfect,Education,Education Perfect Ltd.,,2.8,176,18,"10,000",
General Knowledge 52600 +Faqs,Education,"General Knowledge, Current Affairs and Quiz",,4.2,"17,671",6.2,"1,000,000",
Google Classroom,Education,Google LLC,,4.2,"69,377",,"10,000,000",
Kids Education - Free,Education,forqan smart tech,Contains Ads,4.5,488,74,"100,000",
TED,Education,TED Conferences LLC,Contains Ads,4.6,"181,731",18,"10,000,000",
Math Tricks,Education,Antoni Ion,Contains Ads·Offers in-app purchases,4.5,"342,753",8.1,"10,000,000",
Rosetta Stone: Learn to Speak & Read New Languages,Education,Rosetta Stone Ltd,Offers in-app purchases,4.5,"172,258",76,"5,000,000",
Pocket Physics,Education,Geckonization,Contains Ads·Offers in-app purchases,4.2,"17,651",17,"1,000,000",
Udacity - Lifelong Learning,Education,"Udacity, Inc",,4.3,"22,381",17,"1,000,000",
Brilliant,Education,Brilliant.org,Offers in-app purchases,4.5,"41,102",,"1,000,000",
Guided Lessons by Education.com,Education,Education.com,Offers in-app purchases,4.1,10,33,"1,000",
Kahoot!,Education,Kahoot!,,4.2,"48,666",12,"10,000,000",
Lumosity: #1 Brain Games & Cognitive Training App,Education,"Lumos Labs, Inc.",Offers in-app purchases,4.2,"215,241",,"10,000,000",
Free Medical Education,Education,fqetv.com,,4.7,17,3.1,"1,000",
BabyFirst Video Educational TV,Education,BabyFirst,Contains Ads·Offers in-app purchases,3.9,"6,168",46,"1,000,000",
Kindergarten Kids Learning: Fun Educational Games,Education,Greysprings,Contains Ads·Offers in-app purchases,4.4,"3,131",,"500,000",
