Vocabulary.com,Education,Vocabulary.com,,4.5,"8,519",3.8,"50,000",2.99
Funny Food Games for Toddlers!,Education,MAGE Studio Kid Games,Contains Ads,4.7,"2,424",70,"10,000",4.99
Quiver Education,Education,QuiverVision Limited,,3.4,9,27,500,5.99
Super NUMBERS for kids! FULL,Education,Bini Bambini,,4.4,750,51,"10,000",2.99
القاعدة النورانية,Education,Furqan Group for Education & IT,,4.3,24,48,100,5.99
PE Shake - Games for Teachers,Education,Dale Sidebottom,,4.5,4,1.0,100,0.99
SirMania - Spill & Lær (Norsk),Education,DittDesign.no,,4.6,7,25,500,1.57
My Incredible Body: For Kids!,Education,Visible Body,Offers in-app purchases,4.5,41,8.5,"1,000",24.99
Fourth Grade Learning Games (School Edition),Education,RosiMosi LLC,,4.4,10,58,500,3.99
Fun English (School Edition),Education,Studycat,Contains Ads,4.6,120,78,"1,000",9.99
Starfall Gingerbread,Education,Starfall Education Foundation,,4.3,24,16,"5,000",0.99
Starfall Numbers,Education,Starfall Education Foundation,,4.1,46,33,"5,000",4.99
First Grade Learning Games (School Edition),Education,RosiMosi LLC,,4.8,19,41,"1,000",3.99
"Solar Walk 2 for Education, Teachers and Students",Education,Vito Technology,,4.7,17,28,100,9.99
The Islamic Education Series - Hanafiyy Book 1,Education,Sunniyy Apps,,5.0,5,41,10,2.49
Surgical Education,Education,Raghavendra Rao,,,,1.5,10,0.99
Starfall All About Me,Education,Starfall Education Foundation,,4.1,46,21,"5,000",1.99
Spacewatch - A Solar System Explorer,Education,Kritrim Entertainment,Offers in-app purchases,3.7,117,65,"10,000",0.99
Timmy's Starting to Read,Education,British Council,,4.8,4,88,100,2.99
Ninja Love / Education,Education,NTT Solmare Corp.,Contains Ads·Offers in-app purchases,4.2,132,12,"1,000",3.99
Nursery Rhymes by Dave & Ava,Education,Dave & Ava,,3.6,215,35,"5,000",59.99
Kids Smart Games PRO,Education,AppQuiz,,3.9,165,24,"10,000",2.99
OPOTA SPO Basic Police,Education,Twin State Technical Services,Contains Ads,4.7,3,4.9,100,4.99
Third Grade Learning Games (School Edition),Education,RosiMosi LLC,,4.1,8,54,"1,000",3.99
Starfall Turkey,Education,Starfall Education Foundation,,3.0,1,16,"1,000",0.99
Monkey Math School Sunshine,Education,THUP Games,,4.5,323,,"10,000",1.99
Wubbzy’s 123 Learn & Play,Education,"Cupcake Digital, Inc.",,2.8,8,47,500,1.99
Sociology of Education AS / Year 1,Education,MadeByEducators,,,,14,1,3.99
Ideas for Lego Mindstorms,Education,CS Magics,,4.0,18,49,500,0.99
Abby Basic Skills Preschool,Education,"22LEARN, LLC",,4.1,481,48,"10,000",1.99
Praxis II Health and Physical Education Exam Prep,Education,Upward Mobility,,3.8,4,0.686,100,4.99
Sanskrit Basics Letters,Education,SanskritBscs,,4.1,7,2.5,100,4.99
Drawing for Kids and Toddlers.,Education,Bini Bambini,,4.7,"5,263",79,"100,000",3.99
Magic Laptop: Toddler School,Education,"22LEARN, LLC",,4.4,96,34,"5,000",1.99
PE Games,Education,ConnectedPE,,4.0,2,13,100,1.49
Dominoes Addition,Education,Little Monkey Apps,,5.0,1,1.2,100,1.90
Kids Education,Education,Furqan Khyraj,,,,7.1,1,13.99
State the States™ Education Ed,Education,"ecom enterprises, inc.",,3.0,2,32,50,0.99
Shape Up! - Busy Things,Education,busythings.co.uk,,5.0,1,15,100,0.99
Krakeln - alphabet learning abc,Education,Claus Schunk,,4.3,11,38,"1,000",0.99
PhET Simulations,Education,University of Colorado Boulder,,4.8,66,33,"1,000",0.99
Sounds: The Pronunciation App,Education,Springer Nature Limited,Offers in-app purchases,4.0,469,20,"5,000",6.27
Level It Books,Education,KTL Mobile Apps LLC,,3.1,187,3.7,"10,000",4.99
Sixth Grade Learning Games (School Edition),Education,RosiMosi LLC,,4.5,4,24,100,3.99
Special Education Advocate App,Education,"AAC- Visions for the Future, Inc.",,,,4.1,1,19.99
Grandpa's Workshop,Education,Noodlecake Studios Inc,,4.3,39,21,"1,000",0.99
Talking ABC,Education,Hey Clay,,4.4,130,2.0,"5,000",2.99
Stack the States®,Education,Dan Russell-Pinson,,4.5,"1,927",34,"50,000",2.99
TABE Adult Education Practice Exam 2018 - Offline,Education,Exam Simulados,,,,2.9,5,3.99
Sago Mini Apartment,Education,Sago Mini,,4.3,20,58,"5,000",3.99
DragonBox Numbers,Education,WeWantToKnow AS,,4.8,204,,"10,000",7.99
Monkey Preschool Lunchbox,Education,THUP Games,,4.4,"1,806",,"100,000",1.99
Toca Hair Salon 3,Education,Toca Boca,,4.7,"2,106",67,"50,000",3.99
Outdoor Ed APPbag of Tricks,Education,Wild Exposure Pty Ltd,,4.3,3,17,100,6.60
Pepi Tree,Education,Pepi Play,,4.6,424,36,"10,000",1.99
Reading Phonics Train School,Education,"22LEARN, LLC",,4.1,281,48,"10,000",1.99
CDL Exam Prep - Offline 2018 Practice Test Prep,Education,Exam Simulados,,2.7,3,2.7,100,3.99
Phonograms,Education,Spalding Education,,3.7,41,17,"5,000",3.99
Mobile C { C/C++ Compiler },Education,Lee Jeong Seop,,4.7,40,77,100,12.99
Tickety Toc Bubble Time,Education,"Cupcake Digital, Inc.",,4.2,13,49,"1,000",2.99
Toca Lab: Elements,Education,Toca Boca,,4.4,"20,236",67,"500,000",3.99
2nd Grade Learning Games Math,Education,Boriol,,4.6,7,10,"1,000",0.99
All in One Office Pro App (Word Excel Powerpoint),Education,MMSOFT,,4.5,10,19,100,0.99
Babar & Badou's Marching Band,Education,"Cupcake Digital, Inc.",,4.0,6,48,100,1.99
Mr. Potato Head: School Rush,Education,PlayDate Digital Inc.,,4.4,17,21,"1,000",3.99
Wubbzy's ABC Learn & Play,Education,"Cupcake Digital, Inc.",,4.1,19,38,"1,000",1.99
Toca Life: School,Education,Toca Boca,,4.6,"13,823",24,"100,000",3.99
Little Monster At School,Education,"Wanderful, Inc.",,5.0,4,83,100,4.99
Toca Life: After School,Education,Toca Boca,,4.7,"1,053",24,"10,000",3.99
PLAY-DOH Create ABCs,Education,PlayDate Digital Inc.,Contains Ads,3.3,125,22,"5,000",2.99
Sago Mini Pet Cafe,Education,Sago Mini,,4.2,48,63,"10,000",3.99
Dinosaur Games,Education,Yateland,,4.2,499,44,"10,000",1.99
Baby ABC in box! Kids alphabet games for toddlers,Education,Bini Bambini,,4.6,848,54,"10,000",3.99
Sago Mini Babies,Education,Sago Mini,,4.5,253,83,"10,000",3.99
Strawberry Shortcake Salon,Education,"Cupcake Digital, Inc.",,3.9,35,40,"5,000",2.99
Solar Walk: Explore the Universe in Planetarium 3D,Education,Vito Technology,Offers in-app purchases,4.4,"1,265",30,"10,000",2.99
5th Grade,Education,Return Trucks,,5.0,2,4.3,100,0.99
DragonBox Algebra 12+,Education,WeWantToKnow AS,,4.7,931,62,"10,000",7.99
Easy Anatomy 3D(learn anatomy),Education,GraphicViZion,,4.0,49,27,"1,000",0.99
Puzzingo Kids Puzzles (Pro),Education,"77SPARX Studio, Inc.",,4.8,237,12,"1,000",14.99
Star Walk Kids ⭐️ Become a Space Explorer ⭐️,Education,Vito Technology,,4.5,354,16,"5,000",2.99
Star Walk - Sky View: Explore the Stars,Education,Vito Technology,,4.3,"3,986",87,"100,000",2.99
English Etymology Dictionary - advanced,Education,Smart Education Labs,,4.0,2,15,100,0.99
