Samsung Health,Health & Fitness,"Samsung Electronics Co., Ltd.",,4.3,"479,481",70,"500,000,000",
Health & Fitness Tracker with Calorie Counter,Health & Fitness,DROID INFINITY,Contains Ads·Offers in-app purchases,4.2,"9,966",,"500,000",
Health and Fitness Tracker,Health & Fitness,SoulApps,,4.0,46,2.3,"10,000",
"Health Pal - Fitness, Weight loss coach, Pedometer",Health & Fitness,Digit Grove,Contains Ads·Offers in-app purchases,3.8,"17,608",5.1,"1,000,000",
Calorie Counter - MyFitnessPal,Health & Fitness,"MyFitnessPal, Inc.",Contains Ads·Offers in-app purchases,4.6,"1,873,133",,"50,000,000",
"Pedometer, Step Counter & Weight Loss Tracker App",Health & Fitness,Pacer Health,Contains Ads·Offers in-app purchases,4.6,"547,387",27,"10,000,000",
Health and Fitness Pro,Health & Fitness,EZHIL,Contains Ads,4.0,532,3.3,"50,000",
Health And Fitness,Health & Fitness,NET DIGITALE™,Contains Ads,4.8,4,9.9,500,
30 Day Fitness Challenge - Workout at Home,Health & Fitness,Leap Fitness Group,Contains Ads,4.8,"470,553",,"10,000,000",
Lose Weight in 30 Days,Health & Fitness,Simple Design Ltd.,Contains Ads·Offers in-app purchases,4.8,"217,810",11,"10,000,000",
Home Workout - No Equipment,Health & Fitness,Leap Fitness Group,Contains Ads·Offers in-app purchases,4.8,"424,706",15,"10,000,000",
Women Health Trainer Fitness - Workout & Training,Health & Fitness,vGym.pro,Contains Ads·Offers in-app purchases,4.6,37,,"5,000",
Pedometer & Fitness Tracker,Health & Fitness,SenseMe,Contains Ads,4.2,"30,103",3.7,"1,000,000",
Health Diet Foods Fitness Help,Health & Fitness,Data Recovery Software by RecoveryBull.com,Contains Ads·Offers in-app purchases,4.6,107,45,"5,000",
7 Minute Workout,Health & Fitness,Simple Design Ltd.,Contains Ads·Offers in-app purchases,4.5,"398,907",,"10,000,000",
"Lifesum - Diet Plan, Calorie Counter & Food Diary",Health & Fitness,Lifesum,Offers in-app purchases,4.4,"172,133",,"10,000,000",
8fit Workouts & Meal Planner,Health & Fitness,8fit,Offers in-app purchases,4.6,"115,545",67,"10,000,000",
Health & Fitness Diary,Health & Fitness,SYSTEM,Contains Ads,5.0,3,11,100,
Female Fitness - Women Workout,Health & Fitness,Leap Fitness Group,Contains Ads,4.9,"27,443",12,"1,000,000",
"Abs Workout - Weight Loss App, Tabata, HIIT",Health & Fitness,"Health Group: Fitness, Eyes Protect, Drink Water.",Contains Ads·Offers in-app purchases,4.5,"30,835",12,"10,000,000",
Google Fit - Fitness Tracking,Health & Fitness,Google LLC,,3.9,"249,689",,"10,000,000",
Mens Health Fitness Trainer - Workout & Training,Health & Fitness,Rodale-Motor-Presse,Contains Ads·Offers in-app purchases,4.1,"3,041",56,"500,000",
LG Health,Health & Fitness,"LG Electronics, Inc.",,3.3,"20,084",25,"10,000,000",
Fitness & Bodybuilding,Health & Fitness,VGFIT LLC,Contains Ads·Offers in-app purchases,4.6,"94,608",61,"5,000,000",
JoGoApp for Health & Fitness,Health & Fitness,JoGo.im,,4.3,139,8.3,"10,000",
Health and Fitness Calculators,Health & Fitness,bitapp,Contains Ads,4.5,12,2.5,"1,000",
Keystone Health & Fitness,Health & Fitness,Keystone Health & Fitness,,4.1,9,26,"1,000",
Gainesville Health & Fitness,Health & Fitness,MiGym,,4.3,151,28,"5,000",
Sunny Health & Fitness,Health & Fitness,Sunny Distributor Inc.,,3.0,3,8.6,100,
Health & Fitness,Health & Fitness,Med.INC,Contains Ads,,,10,10,
Lose It! - Calorie Counter,Health & Fitness,"FitNow, Inc.",Contains Ads·Offers in-app purchases,4.4,"69,325",,"10,000,000",
Women’s Health & Fitness,Health & Fitness,Blitz Publications & Multi-Media Group,Offers in-app purchases,2.7,7,5.2,"1,000",
Fort Sanders Health & Fitness,Health & Fitness,Branded MINDBODY Apps,,3.0,2,6.4,500,
Echelon Health & Fitness,Health & Fitness,Netpulse Inc.,,4.7,39,30,"1,000",
Flathead Health & Fitness,Health & Fitness,FitMetrix Inc.,,1.0,1,9.6,100,
Being Healthy-Health & Fitness,Health & Fitness,NSOAPP,Contains Ads,5.0,3,4.5,10,
Fitbit,Health & Fitness,"Fitbit, Inc.",,3.9,"356,987",,"10,000,000",
Stretch Fitness,Health & Fitness,Daily Fitness Yoga Exercise Apps,Contains Ads,3.9,249,11,"50,000",
Health & Fitness 365,Health & Fitness,Cass Money,Contains Ads,,,1.7,50,
Health Calculators & Fitness App,Health & Fitness,Unite WorxApps,Contains Ads,4.8,20,3.1,"5,000",
Home Workout - No Equipment & Meal Planner,Health & Fitness,Simple Design Ltd.,Contains Ads,4.8,"40,158",16,"5,000,000",
Health & Fitness Tips (Lifestyle Guide),Health & Fitness,HJ Solution,Contains Ads,5.0,2,5.5,"1,000",
"Fitonomy - Weight Loss Training, Home & Gym",Health & Fitness,"Fitonomy, INC",Offers in-app purchases,4.5,"7,923",45,"500,000",
Northeast Health & Fitness,Health & Fitness,Netpulse Inc.,,4.7,3,29,100,
Daily Health & Fitness Tips,Health & Fitness,"Jagran, Jagran Josh, OnlyMyHealth",Contains Ads,4.4,"5,126",8.2,"100,000",
Health and Fitness Calculator,Health & Fitness,KDV Developers,Contains Ads,3.9,28,2.4,"1,000",
Health Nutrition - Fitness & Weight loss guide,Health & Fitness,Utility Expert,Contains Ads,4.4,65,38,"10,000",
Dennehys Health & Fitness,Health & Fitness,Dennehy's Health & Fitness,,4.7,13,4.2,"1,000",
VIVE Health & Fitness,Health & Fitness,Branded Apps by MINDBODY,,,,8.7,50,
Fitternity - Health & Fitness App,Health & Fitness,Fitternity,,4.4,"1,137",37,"50,000",
Daily Health & Fitness Tips,Health & Fitness,Navyug Sandesh (Business Sandesh Group),,5.0,35,3.1,"1,000",
Veloz Health & Fitness,Health & Fitness,BH App Development Ltd,,5.0,2,43,10,
Granite Health and Fitness,Health & Fitness,MiGym,,4.5,32,21,"1,000",
Denver Health & Fitness,Health & Fitness,Netpulse Inc.,,4.9,7,37,100,
Beacon Health & Fitness,Health & Fitness,CSI Software Mobile,,3.0,2,5.6,100,
Daily Health & Fitness Tips,Health & Fitness,Sai Developer,Contains Ads,5.0,3,6.7,100,
Ten Health & Fitness,Health & Fitness,Branded Apps by MINDBODY,,4.4,5,8.2,500,
JPS Health & Fitness,Health & Fitness,MINDBODY Branded Apps,,5.0,4,9.6,100,
Talisman : Health and Fitness,Health & Fitness,Dalmet Technologies LLC,,4.5,43,3.6,"1,000",
Guru Mann: Health & Fitness,Health & Fitness,web app,Contains Ads,4.6,31,1.6,"1,000",
Water Drink Reminder,Health & Fitness,Leap Fitness Group,Contains Ads·Offers in-app purchases,4.6,"524,097",,"10,000,000",
Health Tracker,Health & Fitness,Cool Apps Creation,Contains Ads,4.1,119,6.7,"100,000",
Health & Fitness Tips Hindi-English,Health & Fitness,Dudly World,Contains Ads,4.9,62,4.4,"10,000",
Orland Park Health & Fitness,Health & Fitness,MiGym,,1.0,1,28,50,
Innovative Health & Fitness,Health & Fitness,Netpulse Inc.,,4.7,35,35,"1,000",
Elite Health & Fitness,Health & Fitness,Virtuagym Professional,,,,21,50,
"Health, Nutrition & Diet Guide",Health & Fitness,Organic Facts,Contains Ads,4.6,459,6.2,"100,000",
West Wood Health & Fitness,Health & Fitness,Netpulse Inc.,,5.0,1,33,100,
FitCalc+ Fitness & Health Calculator - Gym Tools,Health & Fitness,Jester Dev,Contains Ads,5.0,4,3.2,500,
Health & Fitness Center at WCC,Health & Fitness,MiGym,,4.5,4,28,500,
Hot Springs Health & Fitness,Health & Fitness,MiGym,,5.0,3,28,100,
Borgess Health & Fitness,Health & Fitness,Netpulse Inc.,,4.4,9,32,500,
Greeley Health & Fitness,Health & Fitness,Netpulse Inc.,,5.0,1,30,100,
cure.fit - Health Food | Fitness | Medical care,Health & Fitness,cure.fit,,4.5,"4,729",,"100,000",
Pedometer Health Care Fitness,Health & Fitness,Developers Paradise,Contains Ads,3.8,15,2.1,"5,000",
Insight Health & Fitness,Health & Fitness,ShapeNet,,,,0.323,5,
PumpUp — Fitness Community,Health & Fitness,PumpUp,Offers in-app purchases,4.0,"49,473",57,"1,000,000",
Female Health Fitness : Daily Workout,Health & Fitness,Push_Apps,Contains Ads,5.0,6,4.3,100,
Elite Health & Fitness,Health & Fitness,Netpulse Inc.,,,,30,100,
DOOLEYS Health and Fitness,Health & Fitness,Mywellness srl,,,,24,100,
Provata Health - Digital Wellness Platform,Health & Fitness,Provata Health,,2.4,18,77,"5,000",
Health Before Fitness,Health & Fitness,BH App Development Ltd,,,,44,1,
Health Tips - Fitness,Health & Fitness,AXON,Contains Ads,3.8,19,4.6,"1,000",
Yoga Guide - Health & Fitness,Health & Fitness,AppWorld Infotech,Contains Ads,3.8,4,4.6,500,
Step Counter - Pedometer Free & Calorie Counter,Health & Fitness,Leap Fitness Group,Contains Ads·Offers in-app purchases,4.7,"117,038",7.0,"10,000,000",
Health & Wellness: Health News,Health & Fitness,Update You!,Contains Ads,4.6,135,4.9,"10,000",
Nokia Health Mate,Health & Fitness,Nokia Apps Distribution LLC,,3.6,"28,793",,"1,000,000",
Feelfit-Health Fitness Tool,Health & Fitness,QingNiu,,3.2,188,10,"10,000",
Fitness Calculator 1.0,Health & Fitness,Yuriy Yunikov,Contains Ads,4.2,"2,652",2.0,"100,000",
"Pregnancy Health, Diet and Fitness",Health & Fitness,Ango Health,,4.4,129,12,"10,000",
Health & Fitness Center,Health & Fitness,Netpulse Inc.,,,,33,10,
Lifelog,Health & Fitness,Sony Mobile Communications,,4.2,"298,837",17,"10,000,000",
Rainier Health and Fitness,Health & Fitness,Netpulse Inc.,,5.0,2,32,100,
Boltt Health: Fitness Anytime,Health & Fitness,Boltt Sports Technologies Private Limited,Offers in-app purchases,3.3,"1,682",91,"10,000",
Yoga in Hindi - Health & Fitness,Health & Fitness,AppWorld Infotech,Contains Ads,4.6,10,4.8,"1,000",
Health and Gym Quotes,Health & Fitness,EB Apps,Contains Ads,4.0,21,,"10,000",
Yolanda-Health Fitness Tool,Health & Fitness,QingNiu,,2.6,376,11,"50,000",
Sport360.FIT – Health & Fitness,Health & Fitness,Gulf Sport Media,,4.3,6,9.2,"1,000",
Pro Gym Workout (Gym Workouts & Fitness),Health & Fitness,FitCraft Technologies,Contains Ads·Offers in-app purchases,4.6,"21,189",41,"1,000,000",
Brilliant Health & Fitness,Health & Fitness,Fitii Ltd. Branded Apps,,,,43,5,
Centegra Health Bridge Fitness,Health & Fitness,"Club Automation, LLC",,,,4.1,10,
James Haskell Health & Fitness,Health & Fitness,James Haskell Health & Fitness,Contains Ads·Offers in-app purchases,4.8,14,,"1,000",
Health & Fitness Tips | Tiyo,Health & Fitness,TiyoApp,,5.0,98,1.5,100,
Delnor Health & Fitness Center,Health & Fitness,MiGym,,4.5,2,27,100,
Vitality Health and Fitness,Health & Fitness,Glofox,,3.7,13,13,"10,000",
Mi Fit,Health & Fitness,"Anhui Huami Information Technology Co.,Ltd.",,3.4,"228,182",46,"10,000,000",
Fitness Tracker - Health Coach,Health & Fitness,Muddy Apps and Games,Contains Ads,3.9,135,3.1,"10,000",
Bolt Health and Fitness,Health & Fitness,Branded MINDBODY Apps,,5.0,2,6.6,"1,000",
Springfield Health and Fitness,Health & Fitness,Branded MINDBODY Apps,,,,11,50,
ASUS ZenFit,Health & Fitness,"ZenWatch, ASUSTeK Computer Inc.",,4.2,"5,393",,"1,000,000",
Health Fitness Exercise,Health & Fitness,Mobile World Inc,Contains Ads,4.6,29,22,"1,000",
HEALTH AND FITNESS 2018,Health & Fitness,Tarun Rudani Keshrani Patel,Contains Ads,,,9.9,10,
The Edge Health and Fitness,Health & Fitness,Netpulse Inc.,,5.0,2,31,100,
Exercise Guide-Health fitness,Health & Fitness,titanapps,Contains Ads,5.0,5,23,"1,000",
Home Workout Guide for Men; Exercises & fitness,Health & Fitness,Leftover Web,Contains Ads,4.4,"1,417",2.2,"500,000",
