Social Lite,Social,Thieving Pixels,,4.0,7,2.0,"1,000",0.99
Fnetchat - Smart & Safe Social Network,Social,SKVVCHAT LLC,,3.5,20,2.6,"1,000",0.99
Social Network Lite +,Social,Trinquilin,,4.6,7,0.029,10,0.99
Rede Social - Milionário Vip,Social,Braz Tecnologia & Versatel Rastreador,,,,4.1,0,399.99
The Right Caller Pro : Social Identifier,Social,Mcssan Itech,,,,31,1,9.99
Simple Pro for Facebook & more,Social,Creative Trends Apps LLC,,4.2,"4,563",5.0,"100,000",0.99
Social Media Vault Pro,Social,NewSoftwares.net,,4.3,42,4.3,100,1.99
Social Frame PRO,Social,EllevSoft,,4.4,130,5.8,"1,000",3.99
Premium Dating,Social,Badoo,Contains Ads·Offers in-app purchases,4.0,"17,266",,"100,000",2.99
I am rich - only members are allowed,Social,Virtuoso NetSoft Pvt Ltd,,4.7,26,7.9,100,0.99
"SKOUT+ - Meet, Chat, Friend",Social,Skout Inc.,Offers in-app purchases,4.2,"9,361",,"50,000",2.99
Smart Social Media Pro,Social,Softglobe Technologies,,3.0,2,2.7,100,0.99
UberSocial PRO for Twitter,Social,UberMedia Inc.,,3.7,946,,"10,000",4.99
Febu PRO for Facebook & Messenger - All Social Net,Social,"AppLi, Saif Samir",,3.5,2,10,50,3.99
Richy ME (the only social media for rich people),Social,Cringe Co.,Contains Ads,5.0,1,0.469,1,399.99
Fella for Facebook,Social,Fella Inc.,,4.3,"3,801",2.2,"50,000",0.99
Gravity For Twitter & RSS,Social,mobileways.de,,4.5,235,5.5,"10,000",0.99
Social search,Social,Mind of world,,,,33,1,0.99
Social Feedback,Social,dhaval sharma,,,,2.5,0,0.99
Social Network OverView,Social,Mario Ostwald,Contains Ads,3.9,48,4.4,"1,000",1.49
SocialView (Paid),Social,StageFront,,4.0,1,12,5,2.99
Social Hysteria,Social,Renaissance Holdings Ltd,Contains Ads,,,1.3,0,9.99
JotBear - Post Scheduler,Social,Forward Web,,,,14,5,9.99
NinthState.US,Social,NinthState.US,,,,3.9,1,1.99
Funni Social Graphics,Social,Peek Creative Ltd,,,,1.2,0,1.16
SBrowser Pro (Ads Free),Social,S.Droid,,4.6,36,1.6,100,0.99
يروى - مقولات عربية,Social,Ali Salhi - Yorwa,,4.3,34,3.8,100,2.00
