TripAdvisor Hotels Flights Restaurants Attractions,Travel & Local,TripAdvisor,Contains Ads,4.4,"1,161,650",,"100,000,000",
Google Trips - Travel Planner,Travel & Local,Google LLC,,4.1,"26,807",,"5,000,000",
Travel Channel,Travel & Local,"Travel Channel, LLC",Contains Ads,4.1,"4,391",16,"100,000",
"KAYAK Flights, Hotels & Cars",Travel & Local,KAYAK.com,Contains Ads,4.5,"216,233",19,"10,000,000",
"Expedia Hotels, Flights & Car Rental Travel Deals",Travel & Local,Expedia,Contains Ads,4.1,"136,154",14,"10,000,000",
Booking.com Travel Deals,Travel & Local,Booking.com Hotels & Vacation Rentals,,4.7,"1,829,590",,"100,000,000",
Skyscanner,Travel & Local,Skyscanner Ltd,Contains Ads,4.5,"480,177",29,"10,000,000",
trivago: Hotels & Travel,Travel & Local,trivago,,4.2,"219,210",,"50,000,000",
"Priceline Hotel Deals, Rental Cars & Flights",Travel & Local,priceline.com,,4.4,"48,750",15,"5,000,000",
Trip by Skyscanner - City & Travel Guide,Travel & Local,Trip by Skyscanner,,4.1,"5,149",,"500,000",
Culture Trip: Explore & Travel,Travel & Local,Culture Trip,Contains Ads,4.6,"3,428",18,"500,000",
TripIt: Travel Organizer,Travel & Local,"TripIt, Inc.",,4.4,"49,138",25,"1,000,000",
Cheap Hotels & Vacation Deals,Travel & Local,"Hotels, Last Minute Deals, Flights & Vacation",Contains Ads,4.6,"7,944",,"500,000",
"Orbitz - Hotels, Flights & Package Deals",Travel & Local,orbitz.com,,4.4,"33,228",,"1,000,000",
VOLO - Your Travel Journal,Travel & Local,"SK techx Co., Ltd",,3.9,733,39,"100,000",
Travelzoo,Travel & Local,Travelzoo Inc.,,4.4,"16,298",11,"1,000,000",
Hostelworld: Hostels & Cheap Hotels Travel App,Travel & Local,Hostelworld.com,,4.4,"17,829",28,"1,000,000",
PackPoint travel packing list,Travel & Local,Wawwo,Offers in-app purchases,4.6,"23,839",8.3,"1,000,000",
Airbnb,Travel & Local,"Airbnb, Inc",,4.4,"356,022",,"10,000,000",
MAPS.ME – Offline Map and Travel Navigation,Travel & Local,My.com B.V.,Contains Ads,4.5,"931,030",,"50,000,000",
Couchsurfing Travel App,Travel & Local,CouchSurfing Inc.,,4.4,"61,584",,"1,000,000",
TripCase – Travel Organizer,Travel & Local,Sabre Traveler Solutions,Offers in-app purchases,4.3,"17,655",11,"1,000,000",
World Travel Guide App & Maps,Travel & Local,Happytrips.com - Times Internet Limited,Offers in-app purchases,4.6,165,,"10,000",
Tripoto Travel App: Plan Trips,Travel & Local,Tripoto,,4.4,"9,370",7.5,"100,000",
World Travel Guide by Triposo,Travel & Local,Triposo,Contains Ads·Offers in-app purchases,4.4,"6,011",81,"500,000",
Travelocity Hotels & Flights,Travel & Local,Travelocity.com,Contains Ads,4.0,"7,964",13,"1,000,000",
Travel + Leisure Travel Guide,Travel & Local,TI Media Solutions Inc.,Contains Ads,3.4,38,14,"10,000",
Hopper - Watch & Book Flights,Travel & Local,Hopper Inc.,,4.4,"51,898",,"5,000,000",
Visit A City,Travel & Local,Visit A City,,4.6,"6,979",36,"500,000",
Polarsteps - Travel Tracker,Travel & Local,Polarsteps,,4.7,"5,227",,"100,000",
Guides by Lonely Planet,Travel & Local,Lonely Planet,Offers in-app purchases,4.6,"12,501",34,"500,000",
Cheapflights – Flight Search,Travel & Local,Cheapflights,Contains Ads,4.4,"47,731",19,"5,000,000",
American Airlines,Travel & Local,"American Airlines, Inc.",,3.7,"16,943",,"5,000,000",
Sygic Travel Maps Offline & Trip Planner,Travel & Local,Sygic maps navigation,Offers in-app purchases,4.2,"9,319",38,"1,000,000",
World Explorer - Travel Guide,Travel & Local,Tasmanic Editions,Contains Ads·Offers in-app purchases,4.3,"9,267",3.9,"1,000,000",
TripScout - City Trip Planner & Travel Itinerary,Travel & Local,"TripScout - Travel Guide, Audio Tour & Offline Map",Offers in-app purchases,3.8,64,24,"10,000",
Alaska Airlines - Travel,Travel & Local,Alaska Airlines,,4.7,"35,038",,"1,000,000",
Hotels – any.travel,Travel & Local,Any.Travel,,4.7,"1,858",1.6,"100,000",
Travel Budget - Track Expenses with TravelSpend,Travel & Local,TravelSpend,Contains Ads·Offers in-app purchases,4.6,166,20,"10,000",
Secret Travel - Save up to 80% on worldwide travel,Travel & Local,Secret Travel,,4.2,15,49,"5,000",
Packing List for Travel - PackKing,Travel & Local,PackKing Travel Apps,Contains Ads·Offers in-app purchases,4.6,"4,941",7.3,"100,000",
Travel Pal: Meet The World,Travel & Local,Hello Pal International Inc.,,4.1,"1,156",66,"100,000",
"Last Minute Travel: Hotel Tonight, Cheap Vacations",Travel & Local,Travel Holdings,,3.8,762,,"100,000",
"TourBar - Chat, Meet & Travel",Travel & Local,TourBar,Offers in-app purchases,4.1,"7,636",15,"500,000",
Fly Delta,Travel & Local,"Delta Air Lines, Inc.",,3.7,"27,544",46,"5,000,000",
easyJet: Travel App,Travel & Local,easyJet Airline Company Limited,,4.4,"134,815",50,"10,000,000",
My Travel Map,Travel & Local,travelfriends.fm,Contains Ads,3.6,180,1.6,"10,000",
STA Travel,Travel & Local,STA Travel Ltd,,3.5,491,32,"100,000",
United Airlines,Travel & Local,United Airlines,,3.5,"30,406",80,"5,000,000",
Zaldee - earn while you travel,Travel & Local,"Zaldee, Inc",,4.4,"1,100",8.5,"100,000",
Travello - Your Social Travel Companion,Travel & Local,Travello App,,4.1,"1,184",41,"100,000",
izi.TRAVEL: Audio Travel Guide,Travel & Local,Informap Technology Center,Offers in-app purchases,4.2,"12,546",12,"1,000,000",
CityMaps2Go Plan Trips Travel Guide Offline Maps,Travel & Local,Ulmon GmbH,Contains Ads·Offers in-app purchases,4.3,"64,644",58,"1,000,000",
New York Travel Guide,Travel & Local,Ulmon GmbH,Contains Ads,4.6,"2,795",58,"100,000",
