Yahoo Finance,Finance,Yahoo,Contains Ads,4.4,"135,941",,"5,000,000",
"Mint: Budget, Bills, Finance",Finance,Intuit Inc,,4.3,"129,297",,"5,000,000",
"Wallet - Money, Budget, Finance & Expense Tracker",Finance,BudgetBakers.com,Offers in-app purchases,4.5,"83,245",37,"1,000,000",
MSN Money- Stock Quotes & News,Finance,Microsoft Corporation,Contains Ads,4.5,"78,265",22,"1,000,000",
Easy Home Finance,Finance,VoPo,,4.7,"1,261",5.8,"100,000",
My Finances,Finance,7csolutions,Contains Ads·Offers in-app purchases,4.5,"43,862",,"1,000,000",
"NerdWallet: Personal Finance, Credit Score & Cash",Finance,NerdWallet,,4.6,"2,401",28,"100,000",
Fortune City - A Finance App,Finance,Fourdesire,Contains Ads·Offers in-app purchases,4.6,"49,128",91,"500,000",
"Stocks, Forex, Bitcoin, Ethereum: Portfolio & News",Finance,INVESTING.com,Contains Ads·Offers in-app purchases,4.6,"156,891",,"5,000,000",
Money Manager Expense & Budget,Finance,Realbyte Inc.,Contains Ads·Offers in-app purchases,4.6,"134,235",,"5,000,000",
"Prism Pay Bills, Track Money, Personal Finance",Finance,"Handle Financial, Inc.",,4.6,"16,901",31,"500,000",
Personal Finance,Finance,Bishinews,Contains Ads,4.2,"1,725",,"100,000",
CNBC: Breaking Business News & Live Market Data,Finance,"NBCUniversal Media, LLC",Contains Ads,4.2,"24,636",,"1,000,000",
Financial Calculators,Finance,Bishinews,Contains Ads,4.3,"18,465",,"1,000,000",
"Personal Capital -Budgeting,Investing,Finance App",Finance,Personal Capital Corporation,,4.4,"5,054",38,"100,000",
"Bluecoins- Finance, Budget, Money, Expense Tracker",Finance,Mabuhay Software,Contains Ads·Offers in-app purchases,4.7,"7,509",11,"100,000",
Goodbudget: Budget & Finance,Finance,Dayspring Technologies,Offers in-app purchases,4.4,"18,465",5.3,"1,000,000",
Clarity Money - Budget Planner,Finance,"Clarity Money, Inc",,4.2,"1,490",38,"100,000",
Monefy - Money Manager,Finance,MonefyApp,Contains Ads·Offers in-app purchases,4.6,"111,032",7.4,"1,000,000",
MarketWatch,Finance,"Dow Jones & Company, Inc.",Contains Ads,4.0,"5,491",,"500,000",
Finance Manager,Finance,URAMAKS.com,Contains Ads·Offers in-app purchases,4.6,"28,566",15,"1,000,000",
Fidelity Investments,Finance,Fidelity Investments,,4.4,"35,152",25,"1,000,000",
Seeking Alpha,Finance,SeekingAlpha,Contains Ads·Offers in-app purchases,4.5,"22,794",,"1,000,000",
Mobills: Budget Planner,Finance,MobillsLabs,Offers in-app purchases,4.6,"161,246",16,"1,000,000",
"StockMarkets – news, portfolio, watchlists, charts",Finance,Teletrader,,4.6,"17,054",12,"500,000",
Financial Monitor - personal finance manager,Finance,Cloudfinapps,Offers in-app purchases,4.6,"5,214",10,"100,000",
"Money Lover: Expense Tracker, Budget Money Manager",Finance,Finsify,Contains Ads·Offers in-app purchases,4.4,"126,226",,"1,000,000",
