"Health and Wellness Fitness Utilities - Workouts,.",Health & Fitness,DigiGalaxy.net,,4.0,4,11,100,2.99
Mob Fitness : Healthy and Fitness App,Health & Fitness,FIMH,,,,11,0,0.99
Fitness And Health,Health & Fitness,KMA for freedom,Contains Ads,,,18,0,2.49
Health and Fitness Lists,Health & Fitness,Reference Geek Apps,,3.0,1,7.4,10,0.99
A TOTAL HEALTH & WELLNESS....,Health & Fitness,"Mobifusion, Inc",,,,6.1,0,9.99
"Runtastic PRO Running, Fitness",Health & Fitness,Runtastic,Offers in-app purchases,4.5,"212,909",,"1,000,000",4.99
Brigitte Fitness Health Yoga,Health & Fitness,upmc mobile,,3.4,15,22,100,4.99
30 Day Fitness Challenge Pro,Health & Fitness,Leap Fitness Group,,4.7,"1,679",16,"10,000",2.99
Instant Heart Rate+ : Heart Rate & Pulse Monitor,Health & Fitness,Azumio Inc.,Offers in-app purchases,4.3,"16,393",37,"100,000",2.99
iMuscle 2,Health & Fitness,"3D4Medical.com, LLC",,4.1,"2,440",47,"50,000",1.99
Guru Mann Fitness,Health & Fitness,Guru Mann,,4.7,"1,450",20,"10,000",2.99
Desk Job - Office Health,Health & Fitness,Space Wolf,,4.1,14,9.1,100,0.99
Runtastic Road Bike PRO,Health & Fitness,Runtastic,,4.3,"17,134",38,"100,000",4.99
My Diet Coach - Pro,Health & Fitness,InspiredApps (A.L) LTD,,4.6,"20,343",,"100,000",11.99
Health Tracker & Manager App,Health & Fitness,XLabz Technologies Pvt Ltd,,3.0,3,3.6,100,1.99
Shoulder & Arm Fitness Pro,Health & Fitness,Daily Fitness Yoga Exercise Apps,,5.0,1,10,5,0.99
Situps Fitness Workout,Health & Fitness,ZAAX Consulting PLC,,,,8.1,10,0.99
Bodyweight Fitness Pro,Health & Fitness,Damian Mazurkiewicz,,4.8,649,54,"5,000",2.49
DNA Health Tracker Pro,Health & Fitness,BioStatus Health,,3.9,16,9.6,100,3.99
Fitness trainer PRO,Health & Fitness,DSN Inc.,,,,41,10,3.99
