Snapchat,Social,Snap Inc,Contains Ads·Offers in-app purchases,4.0,"16,982,881",,"500,000,000",
Hive - Bringing Social Back,Social,Hive Social Inc.,,4.0,224,24,"10,000",
Vent - Express yourself freely,Social,Vent,Contains Ads·Offers in-app purchases,4.3,"11,162",13,"500,000",
MeetMe: Chat & Meet New People,Social,MeetMe.com,Contains Ads·Offers in-app purchases,4.2,"1,258,704",76,"50,000,000",
Social.mom,Social,Social.mom,,4.2,191,12,"10,000",
Socially - All Social Media in One App,Social,Digital Dreams Media Pvt. Ltd.,Contains Ads,4.7,16,6.1,100,
"Waplog - Free Chat, Dating App, Meet Singles",Social,Waplog Social Network,Contains Ads·Offers in-app purchases,4.2,"520,527",,"10,000,000",
All Social Networks,Social,Al Misbah Informatique,Contains Ads,4.2,"22,105",1.5,"1,000,000",
IMVU: 3D Avatar! Virtual World & Social Game,Social,"IMVU, Inc.",Contains Ads·Offers in-app purchases,4.2,"229,125",,"5,000,000",
POF Free Dating App,Social,Plentyoffish Media ULC,Contains Ads·Offers in-app purchases,4.2,"1,174,002",,"50,000,000",
Tumblr,Social,"Tumblr, Inc.",Contains Ads,4.4,"2,950,611",,"100,000,000",
"SKOUT - Meet, Chat, Go Live",Social,Skout Inc.,Contains Ads·Offers in-app purchases,4.2,"1,063,301",,"50,000,000",
Badoo - Free Chat & Dating App,Social,Badoo,Contains Ads·Offers in-app purchases,4.3,"3,777,367",,"100,000,000",
BUBBLE: Social + Messaging,Social,Bubble.com,,4.4,25,51,"1,000",
Grindr - Gay chat,Social,Grindr LLC,Contains Ads·Offers in-app purchases,3.6,"284,219",31,"10,000,000",
Instagram,Social,Instagram,Contains Ads,4.5,"66,428,132",,"1,000,000,000",
Pinterest,Social,Pinterest,Contains Ads,4.6,"4,294,235",,"100,000,000",
Peeks Social,Social,Peeks Social Ltd.,Offers in-app purchases,4.0,"125,452",31,"10,000,000",
Whisper,Social,WhisperText LLC,Contains Ads,4.1,"205,654",,"5,000,000",
"Nearby - Chat, Meet, Friend",Social,Social Foundry,Contains Ads·Offers in-app purchases,4.0,"41,016",7.6,"5,000,000",
"hi5 - meet, chat & flirt",Social,Ifwe Inc.,Contains Ads·Offers in-app purchases,4.1,"87,323",,"5,000,000",
Vero - True Social,Social,"Vero Labs, Inc.",,3.1,"24,630",73,"1,000,000",
Nextdoor - Local neighborhood news & classifieds,Social,Nextdoor.com,,4.3,"51,324",20,"5,000,000",
"Jaumo Dating, Flirt & Live Video",Social,Jaumo,Contains Ads·Offers in-app purchases,4.4,"898,189",13,"10,000,000",
Facebook,Social,Facebook,Contains Ads·Offers in-app purchases,4.1,"78,076,812",,"1,000,000,000",
Meetup,Social,Meetup,,4.2,"79,081",23,"5,000,000",
Crowdfire: Social Media Manager,Social,Crowdfire Inc.,Offers in-app purchases,4.3,"224,534",,"5,000,000",
"Tagged - Meet, Chat & Dating",Social,Ifwe Inc.,Contains Ads·Offers in-app purchases,4.1,"486,585",,"10,000,000",
Social networks & social media Global app 2018,Social,Social Netwoks apps,Contains Ads,4.7,51,4.9,"10,000",
LinkedIn,Social,LinkedIn,Contains Ads,4.2,"1,223,943",,"100,000,000",
"SayHi Chat, Meet New People",Social,UNEARBY,Contains Ads·Offers in-app purchases,4.2,"422,583",,"10,000,000",
